row_id,point_id,lat,lon,distance_km,altitude_m,vegetation,in_tunnel,ant_id,operateur,generation,bande_mhz,commune,ant_lat,ant_lon,ant_alt_abs_m,dist_ant_km,los_category,perte_db,snr_db,snr_adjusted_db,debit_adjusted,rtt_ms,ber,delta_ber,delta_vitesse,delta_snr_db,packet_loss_pct,path_loss_model,flag_debit_nul,zone_blanche,gen_num,veg_num
0,0,45.765121,3.540238,0.0,314.0,urbain,False,43709,BOUYGUES TELECOM,2G,900,,45.756667,3.558611,444.2,1.7074,1,100.16,22.0,20.39,0.2238,679.9,1e-06,0.0,0.9,-0.712,0.039992,P1812,0,0,1,1
1,0,45.765121,3.540238,0.0,314.0,urbain,False,452720,ORANGE,2G,900,,45.756667,3.558611,444.2,1.7074,1,100.16,22.0,20.84,0.2238,679.9,1e-06,0.0,0.9,-0.265,0.039992,P1812,0,0,1,1
2,0,45.765121,3.540238,0.0,314.0,urbain,False,661617,SFR,2G,900,,45.756667,3.558611,444.2,1.7074,1,100.16,22.0,22.0,0.2238,679.9,1e-06,0.0,0.9,0.927,0.039992,P1812,0,0,1,1
3,0,45.765121,3.540238,0.0,314.0,urbain,False,661623,SFR,3G,900,,45.756667,3.558611,442.2,1.7074,1,100.16,28.0,27.57,1.2723,123.7,1e-06,0.0,0.6,0.175,0.039992,P1812,0,0,2,1
4,0,45.765121,3.540238,0.0,314.0,urbain,False,452724,ORANGE,3G,900,,45.756667,3.558611,442.2,1.7074,1,100.16,28.0,28.0,1.2723,123.7,1e-06,0.0,0.6,0.828,0.039992,P1812,0,0,2,1
5,0,45.765121,3.540238,0.0,314.0,urbain,False,43715,BOUYGUES TELECOM,3G,900,,45.756667,3.558611,442.2,1.7074,1,100.16,28.0,27.92,1.2723,123.7,1e-06,0.0,0.6,0.519,0.039992,P1812,0,0,2,1
6,0,45.765121,3.540238,0.0,314.0,urbain,False,245598,FREE MOBILE,4G,2100,,45.756667,3.558611,439.2,1.7074,1,100.16,32.0,31.09,18.78,47.1,1e-06,0.0,0.15,-0.764,0.039992,P1812,0,0,3,1
7,0,45.765121,3.540238,0.0,314.0,urbain,False,43714,BOUYGUES TELECOM,4G,800,,45.756667,3.558611,439.2,1.7074,1,100.16,32.0,32.0,37.8821,35.0,1e-06,0.0,0.15,0.65,0.039992,P1812,0,0,3,1
8,0,45.765121,3.540238,0.0,314.0,urbain,False,661622,SFR,4G,800,,45.756667,3.558611,439.2,1.7074,1,100.16,32.0,31.47,37.8821,35.0,1e-06,0.0,0.15,-0.38,0.039992,P1812,0,0,3,1
9,0,45.765121,3.540238,0.0,314.0,urbain,False,43711,BOUYGUES TELECOM,4G,2100,,45.756667,3.558611,439.2,1.7074,1,100.16,32.0,31.46,18.78,47.1,1e-06,0.0,0.15,-0.387,0.039992,P1812,0,0,3,1
10,0,45.765121,3.540238,0.0,314.0,urbain,False,452723,ORANGE,4G,800,,45.756667,3.558611,439.2,1.7074,1,100.16,32.0,31.97,37.8821,35.0,1e-06,0.0,0.15,0.117,0.039992,P1812,0,0,3,1
11,0,45.765121,3.540238,0.0,314.0,urbain,False,661620,SFR,4G,2600,,45.756667,3.558611,439.2,1.7074,1,100.16,32.0,30.02,29.0842,51.3,1e-06,0.0,0.15,-1.831,0.039992,P1812,0,0,3,1
