ant_id,support_id,operateur,generation,bande_mhz,systeme,statut,ant_lat,ant_lon,commune,code_insee,dist_ligne_km
410545,345992,ORANGE,2G,900,GSM 900,En service,45.513333333333335,3.6919444444444447,Tissonnière,63081,4.67832262539655
410546,345992,ORANGE,4G,700,LTE 700,En service,45.513333333333335,3.6919444444444447,Tissonnière,63081,4.67832262539655
410547,345992,ORANGE,4G,800,LTE 800,En service,45.513333333333335,3.6919444444444447,Tissonnière,63081,4.67832262539655
410548,345992,ORANGE,3G,900,UMTS 900,En service,45.513333333333335,3.6919444444444447,Tissonnière,63081,4.67832262539655
410611,348090,ORANGE,2G,900,GSM 900,En service,45.465833333333336,3.791111111111111,Le Suc du Tour,63371,9.56484254097003
410612,348090,ORANGE,4G,700,LTE 700,En service,45.465833333333336,3.791111111111111,Le Suc du Tour,63371,9.56484254097003
410613,348090,ORANGE,4G,800,LTE 800,En service,45.465833333333336,3.791111111111111,Le Suc du Tour,63371,9.56484254097003
410614,348090,ORANGE,3G,900,UMTS 900,En service,45.465833333333336,3.791111111111111,Le Suc du Tour,63371,9.56484254097003
410615,348092,ORANGE,2G,900,GSM 900,En service,45.66361111111111,3.577222222222222,L'Oligne,63434,3.433381319143419
410616,348092,ORANGE,4G,700,LTE 700,En service,45.66361111111111,3.577222222222222,L'Oligne,63434,3.433381319143419
410617,348092,ORANGE,4G,800,LTE 800,En service,45.66361111111111,3.577222222222222,L'Oligne,63434,3.433381319143419
410618,348092,ORANGE,3G,900,UMTS 900,En service,45.66361111111111,3.577222222222222,L'Oligne,63434,3.433381319143419
410956,363459,ORANGE,4G,700,LTE 700,En service,45.6025,3.781111111111111,La Grande Pièce,63441,4.287793187856585
410957,363459,ORANGE,4G,800,LTE 800,En service,45.6025,3.781111111111111,La Grande Pièce,63441,4.287793187856585
410958,363459,ORANGE,3G,900,UMTS 900,En service,45.6025,3.781111111111111,La Grande Pièce,63441,4.287793187856585
411111,367589,ORANGE,5G,2100,5G NR 2100,Techniquement opérationnel,45.83111111111111,3.459166666666667,Bois de la Font,63276,9.661445090786158
411112,367589,ORANGE,2G,900,GSM 900,En service,45.83111111111111,3.459166666666667,Bois de la Font,63276,9.661445090786158
411113,367589,ORANGE,4G,1800,LTE 1800,En service,45.83111111111111,3.459166666666667,Bois de la Font,63276,9.661445090786158
411114,367589,ORANGE,4G,700,LTE 700,En service,45.83111111111111,3.459166666666667,Bois de la Font,63276,9.661445090786158
411115,367589,ORANGE,4G,800,LTE 800,En service,45.83111111111111,3.459166666666667,Bois de la Font,63276,9.661445090786158
