point_id,longitude,latitude
0,3.5402380,45.7651206
1,3.5406196,45.7641208
2,3.5410287,45.7631333
3,3.5415257,45.7621856
4,3.5420773,45.7612702
5,3.5426721,45.7603806
6,3.5432689,45.7594922
7,3.5438698,45.7586067
8,3.5444603,45.7577146
9,3.5449843,45.7567815
10,3.5455850,45.7558973
11,3.5461841,45.7550136
12,3.5465461,45.7540118
13,3.5465362,45.7529513
14,3.5461393,45.7519628
15,3.5455368,45.7510820
16,3.5448432,45.7502671
17,3.5441462,45.7494552
18,3.5434644,45.7486303
19,3.5427849,45.7478035
20,3.5421072,45.7469752
21,3.5414240,45.7461515
22,3.5407395,45.7453289
23,3.5400588,45.7445030
24,3.5393783,45.7436771
25,3.5386965,45.7428522
26,3.5380111,45.7420303
27,3.5373258,45.7412083
28,3.5366131,45.7404107
29,3.5358791,45.7396318
30,3.5350257,45.7389861
31,3.5342024,45.7383036
32,3.5335136,45.7374885
33,3.5328205,45.7366731
34,3.5321450,45.7358431
35,3.5314653,45.7350186
36,3.5309930,45.7340606
37,3.5307431,45.7330215
38,3.5305521,45.7319685
39,3.5303994,45.7309093
40,3.5302302,45.7298526
41,3.5298637,45.7288575
42,3.5293560,45.7279155
43,3.5288673,45.7269634
44,3.5283398,45.7260326
45,3.5279014,45.7250587
46,3.5279032,45.7240147
47,3.5284936,45.7231464
48,3.5294080,45.7226032
49,3.5304378,45.7223348
50,3.5315066,45.7222922
51,3.5325675,45.7221813
52,3.5335784,45.7218484
53,3.5344500,45.7212342
54,3.5349176,45.7203158
55,3.5345949,45.7193087
56,3.5338998,45.7185155
57,3.5329724,45.7179815
58,3.5320233,45.7174915
59,3.5310640,45.7170585
60,3.5308328,45.7160136
61,3.5306017,45.7149687
62,3.5305416,45.7139976
63,3.5314607,45.7134493
64,3.5324789,45.7131435
65,3.5335095,45.7128563
66,3.5345062,45.7124949
67,3.5353637,45.7118545
68,3.5360895,45.7110741
69,3.5367266,45.7102151
70,3.5372601,45.7092874
71,3.5378234,45.7083777
72,3.5385579,45.7076092
73,3.5395264,45.7071677
74,3.5405432,45.7068351
75,3.5415318,45.7064301
76,3.5425092,45.7060017
77,3.5435315,45.7056853
78,3.5445539,45.7053690
79,3.5455900,45.7051018
80,3.5465847,45.7047229
81,3.5474653,45.7041281
82,3.5484393,45.7037155
