point_id,lat,lon,distance_km,altitude_m
0,45.765121,3.540238,0.0,314.0
1,45.764252,3.54057,0.1,314.7
2,45.763387,3.540924,0.2,315.1
3,45.762537,3.541342,0.2999,314.7
4,45.761701,3.541818,0.3999,317.2
5,45.760879,3.542339,0.4998,316.6
6,45.760064,3.542885,0.5998,315.4
7,45.75925,3.543433,0.6998,315.9
8,45.758437,3.543982,0.7997,315.9
9,45.757618,3.544515,0.8997,315.3
10,45.75678,3.544985,0.9998,314.1
11,45.755968,3.545537,1.0997,314.8
12,45.755155,3.546088,1.1997,315.6
13,45.754293,3.546444,1.2995,316.4
14,45.753403,3.54654,1.3987,317.0
15,45.75252,3.546363,1.4978,316.7
16,45.751673,3.545941,1.5975,315.4
17,45.750872,3.545358,1.6974,317.1
18,45.750099,3.544699,1.7974,318.6
19,45.749326,3.54404,1.8974,319.5
20,45.748547,3.543396,1.9974,319.5
21,45.747767,3.542755,2.0974,319.3
22,45.746986,3.542116,2.1974,319.1
23,45.746208,3.541471,2.2973,318.6
24,45.74543,3.540824,2.3973,318.6
25,45.744651,3.54018,2.4973,319.1
26,45.743871,3.539538,2.5973,318.9
27,45.743092,3.538895,2.6973,320.5
28,45.742314,3.538248,2.7973,322.2
29,45.741537,3.5376,2.8973,322.4
30,45.740768,3.536932,2.9973,323.3
31,45.740011,3.536236,3.0973,326.1
32,45.739304,3.535446,3.197,326.9
33,45.738629,3.534595,3.297,328.2
34,45.737896,3.533858,3.3966,329.5
35,45.737121,3.533202,3.4967,333.6
36,45.736344,3.532553,3.5967,337.5
37,45.735563,3.531914,3.6967,332.4
38,45.734763,3.531339,3.7962,330.4
39,45.733906,3.530956,3.896,334.0
40,45.733019,3.530743,3.996,327.0
41,45.732127,3.530581,4.096,328.3
42,45.731232,3.530446,4.1961,337.8
43,45.730338,3.530308,4.2961,340.8
44,45.729455,3.530084,4.3958,338.5
45,45.728593,3.529721,4.4957,345.0
46,45.72775,3.529271,4.5957,339.7
47,45.726904,3.528834,4.6957,329.9
48,45.726068,3.52836,4.7957,336.2
49,45.725211,3.52797,4.8957,340.3
50,45.724319,3.527903,4.995,340.7
51,45.723477,3.528269,5.0928,340.3
52,45.722801,3.529075,5.1906,343.2
53,45.722395,3.530205,5.2893,342.9
54,45.722293,3.531476,5.3886,347.2
55,45.722126,3.532735,5.4881,344.6
56,45.721672,3.533828,5.5868,340.8
57,45.720968,3.534586,5.6847,341.8
58,45.720113,3.534853,5.782,346.2
59,45.719245,3.534539,5.8815,346.6
60,45.718487,3.533851,5.9813,346.9
61,45.71792,3.532852,6.0813,344.6
62,45.717394,3.531808,6.1813,343.6
63,45.716781,3.531003,6.2738,353.7
64,45.715892,3.530806,6.3738,389.0
65,45.715003,3.530609,6.4738,398.7
66,45.714105,3.530548,6.5738,362.1
67,45.713483,3.531404,6.6697,358.5
68,45.713116,3.532576,6.7694,357.7
69,45.712765,3.533761,6.8693,353.3
70,45.712266,3.534812,6.968,360.3
71,45.711573,3.535625,7.0676,368.4
72,45.710804,3.53629,7.1675,374.3
73,45.709996,3.536853,7.2674,372.8
74,45.709163,3.537337,7.3674,365.2
75,45.708341,3.537858,7.4674,370.4
76,45.707599,3.538581,7.5672,376.9
77,45.707121,3.53967,7.6671,372.8
78,45.706721,3.540823,7.7671,377.6
79,45.706257,3.541926,7.8671,389.6
80,45.705832,3.543057,7.9668,386.6
81,45.705468,3.544235,8.0668,381.8
82,45.705142,3.545434,8.1667,377.8
83,45.704727,3.546575,8.2666,384.9
84,45.704109,3.547509,8.3665,385.2
85,45.703676,3.548631,8.466,390.3
86,45.70349,3.549882,8.5653,382.0
87,45.703435,3.551167,8.6653,366.7
88,45.703223,3.55241,8.7647,373.5
89,45.702731,3.553475,8.8639,370.9
90,45.702085,3.554368,8.9637,373.9
91,45.701409,3.555218,9.0637,380.1
92,45.700723,3.55605,9.1637,380.6
93,45.700158,3.557049,9.2635,398.7
94,45.699875,3.558263,9.3629,418.4
95,45.699871,3.559544,9.4624,408.7
96,45.700136,3.560757,9.5611,391.4
97,45.700578,3.561877,9.661,384.1
98,45.700895,3.563074,9.7604,383.6
99,45.700921,3.564355,9.8599,384.4
100,45.70081,3.565632,9.9598,382.9
101,45.70068,3.566906,10.0598,385.2
102,45.70059,3.568187,10.1598,386.6
103,45.700666,3.569463,10.2593,392.8
104,45.70088,3.570713,10.3592,390.7
105,45.700927,3.57199,10.4585,387.1
106,45.700731,3.573244,10.5583,393.6
107,45.700476,3.574479,10.6583,396.2
108,45.700281,3.575735,10.7582,391.7
109,45.700163,3.577011,10.8582,389.6
110,45.700195,3.578286,10.9573,390.4
111,45.700564,3.57945,11.0566,399.4
112,45.701142,3.580425,11.1559,399.9
113,45.701804,3.581295,11.2558,396.7
114,45.702343,3.582306,11.3546,397.6
115,45.702643,3.58351,11.4539,401.7
116,45.702694,3.584788,11.5533,397.4
117,45.702575,3.586064,11.6533,392.9
118,45.702415,3.587331,11.7533,387.2
119,45.702126,3.588538,11.8524,386.8
120,45.701596,3.589563,11.9514,398.2
121,45.700859,3.590262,12.0497,397.7
122,45.700001,3.590566,12.148,396.0
123,45.699108,3.590528,12.2473,394.9
124,45.698227,3.590275,12.3472,394.0
125,45.697343,3.590037,12.4472,396.0
126,45.696444,3.590007,12.5472,395.4
127,45.695545,3.590038,12.6472,396.8
128,45.694664,3.590258,12.7466,396.6
129,45.693831,3.59072,12.8459,397.3
130,45.693111,3.591462,12.9445,400.1
131,45.692586,3.592494,13.0437,406.3
132,45.692259,3.593686,13.1432,408.2
133,45.692137,3.594957,13.2428,413.1
134,45.692077,3.596241,13.3428,417.3
135,45.692018,3.597524,13.4427,417.7
136,45.691797,3.598764,13.5421,420.8
137,45.691439,3.599945,13.6421,425.5
138,45.69114,3.601156,13.7419,420.5
139,45.69099,3.602424,13.8418,415.7
140,45.691043,3.603707,13.9416,416.6
141,45.691181,3.60498,14.0417,414.6
142,45.691207,3.606259,14.1411,409.8
143,45.690979,3.607493,14.2402,404.7
144,45.690493,3.608568,14.3397,404.2
145,45.68983,3.609433,14.4394,404.7
146,45.689012,3.609953,14.5389,406.2
147,45.688133,3.610195,14.6384,409.6
148,45.687244,3.610137,14.7374,417.6
149,45.686372,3.609841,14.8371,427.0
150,45.685518,3.609437,14.9371,429.2
151,45.684652,3.60915,15.0359,428.3
152,45.683761,3.609265,15.1354,421.1
153,45.682984,3.609914,15.2354,417.9
154,45.682462,3.610955,15.3349,425.7
155,45.682182,3.612178,15.4349,429.4
156,45.681896,3.613397,15.5348,427.6
157,45.681593,3.614608,15.6347,423.0
158,45.68133,3.615839,15.7347,423.7
159,45.680953,3.617004,15.8344,432.7
160,45.680363,3.617974,15.9343,424.4
161,45.679643,3.618744,16.0342,417.3
162,45.6789,3.61947,16.1342,421.4
163,45.678357,3.620489,16.2338,425.2
164,45.678105,3.621716,16.3332,426.0
165,45.678114,3.622998,16.4328,430.2
166,45.678297,3.624255,16.5326,436.5
167,45.678538,3.625495,16.6326,441.9
168,45.678761,3.626742,16.7326,451.2
169,45.678782,3.628021,16.832,453.1
170,45.678502,3.62923,16.931,446.0
171,45.677958,3.630235,17.0298,438.7
172,45.677216,3.630932,17.1285,435.6
173,45.676373,3.631371,17.2282,434.1
174,45.675525,3.631771,17.3275,430.6
175,45.674784,3.632484,17.4268,432.0
176,45.674211,3.633473,17.5266,451.5
177,45.673749,3.634575,17.6265,459.6
178,45.673325,3.63571,17.7265,447.0
