cluster_id,lat,lon,distance_km,altitude_m,pluie_moy_mm_h,pluie_p95_mm_h,temp_moy_c,vent_moy_kmh,humidity_moy_pct,cloudcover_moy_pct
0,45.4092,3.7275,0.0,596.5,0.1194,0.7,12.35,9.08,75.2,63.4
1,45.3974,3.6556,10.0529,846.0,0.1194,0.7,10.8,9.08,74.9,63.4
2,45.3313,3.6691,20.1286,988.6,0.096,0.5,10.09,9.9,73.1,62.4
3,45.2885,3.7075,30.1861,1102.6,0.096,0.5,9.29,9.9,73.0,62.4
4,45.3765,3.6807,40.1926,923.2,0.1194,0.7,10.25,9.08,74.8,63.4
5,45.4645,3.6539,50.1991,941.5,0.1194,0.7,10.1,9.08,74.8,63.4
6,45.5524,3.6271,60.2023,1115.9,0.1194,0.7,8.95,9.08,74.6,63.4
7,45.6413,3.6,70.3009,819.3,0.1051,0.6,10.62,9.26,73.3,62.7
8,45.7301,3.573,80.3975,500.5,0.1051,0.6,12.72,9.26,73.7,62.7
9,45.819,3.5459,90.4941,381.0,0.1051,0.6,13.47,9.26,73.8,62.7
10,45.9078,3.5188,100.5906,391.3,0.0942,0.5,13.27,9.84,71.9,61.8
11,45.9966,3.4918,110.6871,293.4,0.0942,0.5,13.87,9.84,72.0,61.8
12,46.0855,3.4647,120.7836,342.3,0.0942,0.5,13.57,9.84,72.0,61.8
13,46.1743,3.4376,130.8801,331.6,0.0867,0.5,13.38,10.32,71.5,62.1
14,46.1359,3.4239,140.9162,262.2,0.0867,0.5,13.88,10.32,71.6,62.1
15,46.0557,3.4669,151.0062,267.1,0.0942,0.5,14.07,9.84,72.1,61.8
16,45.9683,3.4794,161.1024,286.5,0.0942,0.5,13.92,9.84,72.1,61.8
17,45.8862,3.5066,171.1683,375.2,0.0942,0.5,13.37,9.84,72.0,61.8
18,45.803,3.5588,181.2661,383.0,0.1051,0.6,13.47,9.26,73.8,62.7
19,45.7198,3.611,191.3638,566.2,0.1051,0.6,12.27,9.26,73.6,62.7
20,45.6366,3.6632,201.463,574.0,0.1424,0.8,12.05,8.94,76.6,63.5
21,45.5542,3.7149,211.47,594.5,0.1194,0.7,12.45,9.08,75.2,63.4
22,45.4679,3.7231,221.5683,545.3,0.1194,0.7,12.7,9.08,75.2,63.4
23,45.3781,3.717,231.5711,753.1,0.1194,0.7,11.35,9.08,75.0,63.4
24,45.2882,3.7108,241.574,1118.3,0.096,0.5,9.19,9.9,73.0,62.4
