datetime,precipitation_mm_h,temperature_c,windspeed_kmh,humidity_pct,cloudcover_pct
2023-01-01 00:00:00,0.0,9.0,18.4,83,56
2023-01-01 01:00:00,0.0,9.0,18.5,81,24
2023-01-01 02:00:00,0.0,8.7,18.2,82,24
2023-01-01 03:00:00,0.0,9.0,18.9,80,57
2023-01-01 04:00:00,0.0,9.1,18.6,78,45
2023-01-01 05:00:00,0.0,8.9,17.5,78,64
2023-01-01 06:00:00,0.0,8.9,16.7,78,58
2023-01-01 07:00:00,0.0,8.6,17.1,78,74
2023-01-01 08:00:00,0.0,8.6,18.6,78,76
2023-01-01 09:00:00,0.0,8.8,19.8,77,80
2023-01-01 10:00:00,0.0,9.7,19.8,75,64
2023-01-01 11:00:00,0.0,11.2,20.3,67,54
2023-01-01 12:00:00,0.0,12.4,21.7,62,29
2023-01-01 13:00:00,0.0,13.1,22.6,59,9
2023-01-01 14:00:00,0.0,13.2,23.6,58,8
2023-01-01 15:00:00,0.0,12.7,22.1,61,4
2023-01-01 16:00:00,0.0,11.9,20.7,64,10
2023-01-01 17:00:00,0.0,10.9,20.5,67,11
2023-01-01 18:00:00,0.0,10.2,21.0,69,26
2023-01-01 19:00:00,0.0,9.7,21.3,70,36
2023-01-01 20:00:00,0.0,9.4,21.2,71,66
2023-01-01 21:00:00,0.0,9.4,21.1,71,78
2023-01-01 22:00:00,0.0,9.4,21.8,70,65
2023-01-01 23:00:00,0.0,9.4,21.7,66,81
2023-01-02 00:00:00,0.0,9.4,22.9,67,90
2023-01-02 01:00:00,0.0,9.4,22.9,68,84
2023-01-02 02:00:00,0.0,9.5,22.6,69,100
2023-01-02 03:00:00,0.0,9.6,22.5,69,100
2023-01-02 04:00:00,0.0,9.7,22.5,69,99
2023-01-02 05:00:00,0.0,9.9,22.8,70,84
2023-01-02 06:00:00,0.0,10.1,22.0,70,53
2023-01-02 07:00:00,0.0,10.0,20.9,72,57
2023-01-02 08:00:00,0.0,10.0,20.2,73,69
2023-01-02 09:00:00,0.0,9.8,19.4,74,76
2023-01-02 10:00:00,0.0,10.0,18.1,73,94
2023-01-02 11:00:00,0.0,10.6,15.0,70,100
2023-01-02 12:00:00,0.1,10.7,18.6,71,100
2023-01-02 13:00:00,0.3,10.4,14.5,73,100
2023-01-02 14:00:00,0.4,9.4,11.5,80,100
2023-01-02 15:00:00,0.4,8.8,6.1,85,100
2023-01-02 16:00:00,0.3,8.5,6.5,87,100
2023-01-02 17:00:00,0.2,8.4,6.5,84,98
2023-01-02 18:00:00,0.1,6.8,4.5,94,98
2023-01-02 19:00:00,0.1,6.3,4.7,95,100
2023-01-02 20:00:00,0.8,6.0,4.1,97,96
2023-01-02 21:00:00,0.9,5.6,4.4,98,97
2023-01-02 22:00:00,0.6,5.5,5.8,99,89
2023-01-02 23:00:00,0.4,5.1,2.0,100,100
2023-01-03 00:00:00,0.4,4.8,1.8,100,98
2023-01-03 01:00:00,0.2,4.5,1.1,100,100
