point_id,lat,lon,distance_km,altitude_m,precipitation_mm_h,precipitation_p95_mm_h,temperature_c,windspeed_kmh,humidity_pct,cloudcover_pct
0,45.409192,3.727526,0.0,596.5,0.1194,0.7,12.35,9.08,75.2,63.4
1,45.408341,3.727116,0.0999,598.2,0.1194,0.7,12.3346,9.08,75.197,63.4
2,45.407528,3.726567,0.1999,599.6,0.1194,0.7,12.3192,9.08,75.194,63.4
3,45.406729,3.725978,0.2999,605.6,0.1194,0.7,12.3038,9.08,75.1911,63.4
4,45.405903,3.725479,0.3997,610.1,0.1194,0.7,12.2884,9.08,75.1881,63.4
5,45.405061,3.725027,0.4998,612.2,0.1194,0.7,12.2729,9.08,75.1851,63.4
6,45.404201,3.724659,0.5997,613.5,0.1194,0.7,12.2575,9.08,75.1821,63.4
7,45.403316,3.724441,0.6996,614.7,0.1194,0.7,12.2421,9.08,75.1791,63.4
8,45.402422,3.724312,0.7995,619.6,0.1194,0.7,12.2267,9.08,75.1761,63.4
9,45.40153,3.724155,0.8994,622.3,0.1194,0.7,12.2113,9.08,75.1732,63.4
10,45.400647,3.723912,0.9994,623.6,0.1194,0.7,12.1959,9.08,75.1702,63.4
11,45.399765,3.723665,1.0994,624.5,0.1194,0.7,12.1805,9.08,75.1672,63.4
12,45.398892,3.723358,1.1994,628.7,0.1194,0.7,12.1651,9.08,75.1642,63.4
13,45.398003,3.723193,1.2991,633.1,0.1194,0.7,12.1497,9.08,75.1612,63.4
14,45.397107,3.723223,1.3988,634.7,0.1194,0.7,12.1343,9.08,75.1583,63.4
15,45.396214,3.72337,1.4988,635.1,0.1194,0.7,12.1189,9.08,75.1553,63.4
16,45.395324,3.723551,1.5988,638.3,0.1194,0.7,12.1035,9.08,75.1523,63.4
17,45.394437,3.723765,1.6988,640.9,0.1194,0.7,12.0881,9.08,75.1493,63.4
18,45.393554,3.724004,1.7987,646.0,0.1194,0.7,12.0727,9.08,75.1463,63.4
19,45.392717,3.724468,1.8986,648.9,0.1194,0.7,12.0573,9.08,75.1433,63.4
20,45.391952,3.72513,1.9981,651.0,0.1194,0.7,12.0419,9.08,75.1404,63.4
21,45.391222,3.725879,2.0981,656.7,0.1194,0.7,12.0265,9.08,75.1374,63.4
22,45.390684,3.7269,2.1978,660.0,0.1194,0.7,12.0111,9.08,75.1344,63.4
23,45.390133,3.727911,2.2977,662.5,0.1194,0.7,11.9957,9.08,75.1314,63.4
24,45.389519,3.728845,2.3976,658.4,0.1194,0.7,11.9803,9.08,75.1285,63.4
25,45.388722,3.729384,2.4957,655.7,0.1194,0.7,11.9652,9.08,75.1255,63.4
26,45.387839,3.729272,2.5943,660.4,0.1194,0.7,11.95,9.08,75.1226,63.4
27,45.387085,3.728624,2.6922,669.4,0.1194,0.7,11.9349,9.08,75.1197,63.4
28,45.386676,3.72752,2.7897,675.1,0.1194,0.7,11.9199,9.08,75.1167,63.4
29,45.386765,3.726251,2.8893,679.5,0.1194,0.7,11.9045,9.08,75.1138,63.4
30,45.387071,3.725057,2.9886,682.8,0.1194,0.7,11.8892,9.08,75.1108,63.4
31,45.387409,3.723875,3.0883,683.0,0.1194,0.7,11.8738,9.08,75.1078,63.4
32,45.387474,3.722614,3.187,684.1,0.1194,0.7,11.8586,9.08,75.1049,63.4
33,45.387183,3.721413,3.2862,689.0,0.1194,0.7,11.8433,9.08,75.1019,63.4
34,45.386646,3.720386,3.3862,693.7,0.1194,0.7,11.8279,9.08,75.0989,63.4
35,45.386109,3.719359,3.4862,697.8,0.1194,0.7,11.8125,9.08,75.096,63.4
36,45.38558,3.718323,3.5862,695.3,0.1194,0.7,11.7971,9.08,75.093,63.4
37,45.385056,3.717282,3.6862,694.0,0.1194,0.7,11.7816,9.08,75.09,63.4
38,45.384532,3.716241,3.7862,696.8,0.1194,0.7,11.7662,9.08,75.087,63.4
39,45.383951,3.715267,3.886,703.9,0.1194,0.7,11.7508,9.08,75.084,63.4
40,45.383308,3.714375,3.9858,701.2,0.1194,0.7,11.7355,9.08,75.0811,63.4
41,45.382586,3.713615,4.0856,704.0,0.1194,0.7,11.7201,9.08,75.0781,63.4
42,45.381835,3.712912,4.1855,708.0,0.1194,0.7,11.7047,9.08,75.0751,63.4
43,45.381083,3.712209,4.2855,710.2,0.1194,0.7,11.6892,9.08,75.0721,63.4
44,45.380335,3.711498,4.3855,713.5,0.1194,0.7,11.6738,9.08,75.0691,63.4
45,45.379635,3.710696,4.4854,716.2,0.1194,0.7,11.6584,9.08,75.0661,63.4
46,45.378933,3.709896,4.5854,718.2,0.1194,0.7,11.643,9.08,75.0632,63.4
47,45.378189,3.70918,4.6853,719.1,0.1194,0.7,11.6276,9.08,75.0602,63.4
48,45.377605,3.708208,4.7852,719.3,0.1194,0.7,11.6122,9.08,75.0572,63.4
49,45.377159,3.70711,4.8843,725.9,0.1194,0.7,11.5969,9.08,75.0542,63.4
50,45.377091,3.705862,4.9821,734.7,0.1194,0.7,11.5818,9.08,75.0513,63.4
51,45.377452,3.704702,5.0812,740.1,0.1194,0.7,11.5666,9.08,75.0484,63.4
52,45.377911,3.703603,5.1811,746.2,0.1194,0.7,11.5512,9.08,75.0454,63.4
53,45.378338,3.702485,5.2805,751.6,0.1194,0.7,11.5358,9.08,75.0424,63.4
54,45.378736,3.701341,5.3802,754.1,0.1194,0.7,11.5205,9.08,75.0394,63.4
55,45.379295,3.700339,5.4801,753.0,0.1194,0.7,11.5051,9.08,75.0365,63.4
56,45.379854,3.699336,5.5801,750.4,0.1194,0.7,11.4896,9.08,75.0335,63.4
57,45.380285,3.69822,5.6796,750.8,0.1194,0.7,11.4743,9.08,75.0305,63.4
58,45.380772,3.69718,5.7772,746.4,0.1194,0.7,11.4592,9.08,75.0276,63.4
59,45.381493,3.696414,5.8772,756.7,0.1194,0.7,11.4438,9.08,75.0246,63.4
60,45.382185,3.695597,5.9772,760.2,0.1194,0.7,11.4284,9.08,75.0216,63.4
61,45.382868,3.694765,6.0772,765.3,0.1194,0.7,11.413,9.08,75.0186,63.4
62,45.383496,3.693857,6.1767,764.1,0.1194,0.7,11.3976,9.08,75.0157,63.4
63,45.383968,3.692771,6.2764,771.5,0.1194,0.7,11.3823,9.08,75.0127,63.4
