nom,longueur_m,lat_entree,lon_entree,lat_sortie,lon_sortie
Tunnel de Sauviat,302,45.717035,3.5310529,45.7143803,3.5302504
Tunnel d'Archimbaud,142,45.7083611,3.5378128,45.7074477,3.5390899
Tunnel de Cublas,193,45.7042076,3.5475462,45.7035976,3.5498699
Tunnel des Graves,319,45.7005016,3.5565818,45.7000257,3.5606289
Tunnel de Saint Gervais,124,45.6920718,3.5971847,45.6918742,3.5987594
Tunnel de Constancis,46,45.6807812,3.6169128,45.6807474,3.6175025
Tunnel d'Olliergues,117,45.6742838,3.6334474,45.6737559,3.6347442
Tunnel de Chalard,241,45.6703068,3.6411955,45.6684614,3.6428202
Tunnel de Got,61,45.6652648,3.6491866,45.665103,3.6499399
Tunnel de Flouvat,168,45.6475144,3.6748709,45.6475156,3.6770262
Tunnel du Châtelet,586,45.6236563,3.7197255,45.6184188,3.7205174
Tunnel de Perrier,238,45.6168064,3.723567,45.6153495,3.7213251
