ant_id,support_id,operateur,generation,bande_mhz,systeme,statut,ant_lat,ant_lon,commune,code_insee,dist_ligne_km
618136,345992,SFR,4G,700,LTE 700,En service,45.513333333333335,3.6919444444444447,Tissonnière,63081,5.090972489609861
618137,345992,SFR,4G,800,LTE 800,En service,45.513333333333335,3.6919444444444447,Tissonnière,63081,5.090972489609861
618138,345992,SFR,3G,900,UMTS 900,En service,45.513333333333335,3.6919444444444447,Tissonnière,63081,5.090972489609861
618139,346093,SFR,4G,700,LTE 700,En service,45.589444444444446,3.5733333333333333,Bois Noir,63023,9.530459671950402
618140,346093,SFR,4G,800,LTE 800,En service,45.589444444444446,3.5733333333333333,Bois Noir,63023,9.530459671950402
618141,346093,SFR,3G,900,UMTS 900,En service,45.589444444444446,3.5733333333333333,Bois Noir,63023,9.530459671950402
618192,348092,SFR,4G,700,LTE 700,En service,45.66361111111111,3.577222222222222,L'Oligne,63434,3.4617689125343754
618193,348092,SFR,4G,800,LTE 800,En service,45.66361111111111,3.577222222222222,L'Oligne,63434,3.4617689125343754
618194,348092,SFR,3G,900,UMTS 900,En service,45.66361111111111,3.577222222222222,L'Oligne,63434,3.4617689125343754
618418,363459,SFR,2G,900,GSM 900,En service,45.6025,3.781111111111111,La Grande Pièce,63441,4.446145110689118
618419,363459,SFR,4G,700,LTE 700,En service,45.6025,3.781111111111111,La Grande Pièce,63441,4.446145110689118
618420,363459,SFR,4G,800,LTE 800,En service,45.6025,3.781111111111111,La Grande Pièce,63441,4.446145110689118
618421,363459,SFR,3G,900,UMTS 900,En service,45.6025,3.781111111111111,La Grande Pièce,63441,4.446145110689118
625471,449668,SFR,2G,900,GSM 900,En service,45.65333333333333,3.808611111111111,Pierre sur Haute,63179,7.658972863506163
625472,449668,SFR,4G,800,LTE 800,En service,45.65333333333333,3.808611111111111,Pierre sur Haute,63179,7.658972863506163
625473,449668,SFR,3G,900,UMTS 900,En service,45.65333333333333,3.808611111111111,Pierre sur Haute,63179,7.658972863506163
634446,472985,SFR,4G,700,LTE 700,En service,45.79111111111111,3.4469444444444446,Chez Goutta,63045,7.790901973017236
634447,472985,SFR,4G,800,LTE 800,En service,45.79111111111111,3.4469444444444446,Chez Goutta,63045,7.790901973017236
634448,472985,SFR,3G,900,UMTS 900,En service,45.79111111111111,3.4469444444444446,Chez Goutta,63045,7.790901973017236
104822,1670661,BOUYGUES TELECOM,4G,800,LTE 800,En service,45.680277777777775,3.613611111111111,Le thiaudat,63355,0.3390746633023988
104823,1670661,BOUYGUES TELECOM,3G,900,UMTS 900,En service,45.680277777777775,3.613611111111111,Le thiaudat,63355,0.3390746633023988
104824,1670665,BOUYGUES TELECOM,5G,2100,5G NR 2100,Techniquement opérationnel,45.815555555555555,3.5491666666666664,Le Busset,63151,5.650634058182814
104825,1670665,BOUYGUES TELECOM,2G,900,GSM 900,En service,45.815555555555555,3.5491666666666664,Le Busset,63151,5.650634058182814
104826,1670665,BOUYGUES TELECOM,4G,1800,LTE 1800,En service,45.815555555555555,3.5491666666666664,Le Busset,63151,5.650634058182814
104827,1670665,BOUYGUES TELECOM,4G,2100,LTE 2100,En service,45.815555555555555,3.5491666666666664,Le Busset,63151,5.650634058182814
104828,1670665,BOUYGUES TELECOM,4G,800,LTE 800,En service,45.815555555555555,3.5491666666666664,Le Busset,63151,5.650634058182814
104829,1670665,BOUYGUES TELECOM,3G,900,UMTS 900,En service,45.815555555555555,3.5491666666666664,Le Busset,63151,5.650634058182814
410583,363459,ORANGE,4G,700,LTE 700,En service,45.6025,3.781111111111111,La Grande Pièce,63441,4.446145110689118
410584,363459,ORANGE,4G,800,LTE 800,En service,45.6025,3.781111111111111,La Grande Pièce,63441,4.446145110689118
410585,363459,ORANGE,3G,900,UMTS 900,En service,45.6025,3.781111111111111,La Grande Pièce,63441,4.446145110689118
410738,367589,ORANGE,5G,2100,5G NR 2100,Techniquement opérationnel,45.83111111111111,3.459166666666667,Bois de la Font,63276,9.661445090786158
410739,367589,ORANGE,2G,900,GSM 900,En service,45.83111111111111,3.459166666666667,Bois de la Font,63276,9.661445090786158
410740,367589,ORANGE,4G,1800,LTE 1800,En service,45.83111111111111,3.459166666666667,Bois de la Font,63276,9.661445090786158
410741,367589,ORANGE,4G,700,LTE 700,En service,45.83111111111111,3.459166666666667,Bois de la Font,63276,9.661445090786158
410742,367589,ORANGE,4G,800,LTE 800,En service,45.83111111111111,3.459166666666667,Bois de la Font,63276,9.661445090786158
410743,367589,ORANGE,3G,900,UMTS 900,En service,45.83111111111111,3.459166666666667,Bois de la Font,63276,9.661445090786158
425928,472985,ORANGE,4G,700,LTE 700,En service,45.79111111111111,3.4469444444444446,Chez Goutta,63045,7.790901973017236
425929,472985,ORANGE,4G,800,LTE 800,En service,45.79111111111111,3.4469444444444446,Chez Goutta,63045,7.790901973017236
425930,472985,ORANGE,3G,900,UMTS 900,En service,45.79111111111111,3.4469444444444446,Chez Goutta,63045,7.790901973017236
429769,486013,ORANGE,5G,3500,5G NR 3500,Techniquement opérationnel,45.54527777777778,3.735,Les Trois Chênes,63003,0.2842122650420312
429770,486013,ORANGE,5G,700,5G NR 700,Techniquement opérationnel,45.54527777777778,3.735,Les Trois Chênes,63003,0.2842122650420312
429771,486013,ORANGE,4G,1800,LTE 1800,En service,45.54527777777778,3.735,Les Trois Chênes,63003,0.2842122650420312
429772,486013,ORANGE,4G,2100,LTE 2100,En service,45.54527777777778,3.735,Les Trois Chênes,63003,0.2842122650420312
429773,486013,ORANGE,4G,2600,LTE 2600,En service,45.54527777777778,3.735,Les Trois Chênes,63003,0.2842122650420312
429774,486013,ORANGE,4G,700,LTE 700,En service,45.54527777777778,3.735,Les Trois Chênes,63003,0.2842122650420312
429775,486013,ORANGE,4G,800,LTE 800,En service,45.54527777777778,3.735,Les Trois Chênes,63003,0.2842122650420312
441399,535409,ORANGE,5G,3500,5G NR 3500,Techniquement opérationnel,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
441400,535409,ORANGE,5G,700,5G NR 700,Techniquement opérationnel,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
441401,535409,ORANGE,4G,1800,LTE 1800,En service,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
441402,535409,ORANGE,4G,2100,LTE 2100,En service,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
441403,535409,ORANGE,4G,2600,LTE 2600,En service,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
441404,535409,ORANGE,4G,700,LTE 700,En service,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
441405,535409,ORANGE,4G,800,LTE 800,En service,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
441406,535409,ORANGE,3G,900,UMTS 900,En service,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
449874,576573,ORANGE,5G,3500,5G NR 3500,Techniquement opérationnel,45.546388888888885,3.7483333333333335,,63003,1.0574909895349895
449875,576573,ORANGE,5G,700,5G NR 700,Techniquement opérationnel,45.546388888888885,3.7483333333333335,,63003,1.0574909895349895
449876,576573,ORANGE,2G,900,GSM 900,En service,45.546388888888885,3.7483333333333335,,63003,1.0574909895349895
449877,576573,ORANGE,4G,1800,LTE 1800,En service,45.546388888888885,3.7483333333333335,,63003,1.0574909895349895
449878,576573,ORANGE,4G,2100,LTE 2100,En service,45.546388888888885,3.7483333333333335,,63003,1.0574909895349895
449879,576573,ORANGE,4G,700,LTE 700,En service,45.546388888888885,3.7483333333333335,,63003,1.0574909895349895
449880,576573,ORANGE,4G,800,LTE 800,En service,45.546388888888885,3.7483333333333335,,63003,1.0574909895349895
449881,576573,ORANGE,3G,900,UMTS 900,En service,45.546388888888885,3.7483333333333335,,63003,1.0574909895349895
452345,588097,ORANGE,5G,3500,5G NR 3500,Techniquement opérationnel,45.75666666666667,3.558611111111111,,63125,1.0572080521481995
452346,588097,ORANGE,5G,700,5G NR 700,Techniquement opérationnel,45.75666666666667,3.558611111111111,,63125,1.0572080521481995
