libelle,lat,lon,type_pn,dist_ligne_km
PN_OSM_438052897,45.5321647,3.7359086,level_crossing,1.1440899155821698
PN_OSM_438052899,45.543878,3.7351624,level_crossing,0.04056979262353734
PN_OSM_438641542,45.5505498,3.7347391,level_crossing,0.0024672010435494514
PN_OSM_444006277,45.5480334,3.7348989,crossing,0.022303375421697063
PN_OSM_444006279,45.5475872,3.7349262,crossing,0.027357330883070366
PN_OSM_447000735,45.5716268,3.7290873,level_crossing,0.036438281600017684
PN_OSM_447000737,45.5760822,3.7291625,level_crossing,0.040570443254355736
PN_OSM_447000798,45.6225299,3.7169417,level_crossing,0.035516521234512835
PN_OSM_447003129,45.6392302,3.7060701,level_crossing,0.021330588919942568
PN_OSM_447005236,45.5617859,3.7297841,level_crossing,0.033560381390044525
PN_OSM_447005260,45.5566433,3.7303969,level_crossing,0.00696073121529866
PN_OSM_457101909,45.5471409,3.7349481,crossing,0.023050568311848423
PN_OSM_497522937,45.5463672,3.7349948,crossing,0.037095758807017945
PN_OSM_826825719,45.6443251,3.6694806,level_crossing,0.00716663718816783
PN_OSM_838453034,45.7026316,3.5855536,level_crossing,0.04013249907625678
PN_OSM_838453331,45.7502383,3.5447718,level_crossing,0.01648725975007704
PN_OSM_838453390,45.7483386,3.5432308,level_crossing,0.026482052486092988
PN_OSM_838453586,45.6897607,3.6095136,level_crossing,0.009928447104187159
PN_OSM_862978376,45.6505746,3.6655828,level_crossing,0.021532057929699984
PN_OSM_880343153,45.5505516,3.7346897,level_crossing,0.005042689850752147
PN_OSM_911761683,45.6110796,3.718187,level_crossing,0.03949539478322776
PN_OSM_1799102920,45.751029,3.5454407,level_crossing,0.018599496541953964
PN_OSM_2136218444,45.7025101,3.5867181,level_crossing,0.0487564261130541
PN_OSM_4003398571,45.6441606,3.6683352,level_crossing,0.003683076211150742
PN_OSM_5306844466,45.5463712,3.7349507,crossing,0.03823534636900169
PN_OSM_12093777776,45.5471375,3.7348989,crossing,0.02357361764976031
PN_OSM_12093777777,45.5475866,3.7348685,crossing,0.027597590569922656
PN_OSM_12093777778,45.5480304,3.7348385,crossing,0.022664303415798868
